jira,model,dataset_index,slug,baseline_outcome,final_correctness,final_label_source,manual_verdict
TRACER-17,qwen,2839,moving-stones-until-consecutive-ii,syntax_error,False,static_validation,
TRACER-17,qwen,2840,largest-number-after-mutating-substring,syntax_error,False,static_validation,
TRACER-17,qwen,2841,nim-game,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2842,find-all-possible-recipes-from-given-supplies,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2843,sequential-digits,needs_manual_review,True,single_manual_review,correct
TRACER-17,qwen,2844,check-if-string-is-transformable-with-substring-sort-operations,syntax_error,False,static_validation,
TRACER-17,qwen,2845,increasing-order-search-tree,reference_match,True,reference_ast,
TRACER-17,qwen,2846,check-if-one-string-swap-can-make-strings-equal,reference_match,True,reference_ast,
TRACER-17,qwen,2847,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2848,smallest-string-starting-from-leaf,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2849,online-election,syntax_error,False,static_validation,
TRACER-17,qwen,2850,number-complement,syntax_error,False,static_validation,
TRACER-17,qwen,2851,binary-tree-level-order-traversal-ii,syntax_error,False,static_validation,
TRACER-17,qwen,2852,maximum-of-absolute-value-expression,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2853,minimum-cost-to-make-at-least-one-valid-path-in-a-grid,needs_manual_review,True,single_manual_review,correct
TRACER-17,qwen,2854,alternating-digit-sum,syntax_error,False,static_validation,
TRACER-17,qwen,2855,best-time-to-buy-and-sell-stock-ii,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2856,substring-with-concatenation-of-all-words,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,qwen,2857,merge-k-sorted-lists,needs_manual_review,True,single_manual_review,correct
TRACER-17,qwen,2858,find-the-string-with-lcp,needs_manual_review,True,single_manual_review,correct
TRACER-17,gemma,2839,moving-stones-until-consecutive-ii,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2840,largest-number-after-mutating-substring,reference_match,True,reference_ast,
TRACER-17,gemma,2841,nim-game,reference_match,True,reference_ast,
TRACER-17,gemma,2842,find-all-possible-recipes-from-given-supplies,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2843,sequential-digits,needs_manual_review,True,single_manual_review,correct
TRACER-17,gemma,2844,check-if-string-is-transformable-with-substring-sort-operations,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2845,increasing-order-search-tree,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2846,check-if-one-string-swap-can-make-strings-equal,needs_manual_review,True,single_manual_review,correct
TRACER-17,gemma,2847,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2848,smallest-string-starting-from-leaf,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2849,online-election,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2850,number-complement,needs_manual_review,True,single_manual_review,correct
TRACER-17,gemma,2851,binary-tree-level-order-traversal-ii,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2852,maximum-of-absolute-value-expression,needs_manual_review,True,single_manual_review,correct
TRACER-17,gemma,2853,minimum-cost-to-make-at-least-one-valid-path-in-a-grid,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2854,alternating-digit-sum,needs_manual_review,True,single_manual_review,correct
TRACER-17,gemma,2855,best-time-to-buy-and-sell-stock-ii,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2856,substring-with-concatenation-of-all-words,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2857,merge-k-sorted-lists,needs_manual_review,False,single_manual_review,incorrect
TRACER-17,gemma,2858,find-the-string-with-lcp,needs_manual_review,False,single_manual_review,incorrect
