slug,dataset_index,candidate_type,passed,status,failure_category,exit_code,duration_seconds
nim-game,2841,buggy,False,failed,indentation_error,1,0.8913940000347793
nim-game,2841,reference,True,passed,none,0,1.3891523748170584
nim-game,2841,qwen,False,failed,assertion_failure,1,0.933832332957536
nim-game,2841,gemma,True,passed,none,0,0.8370192919392139
sequential-digits,2843,buggy,False,failed,indentation_error,1,0.7532343328930438
sequential-digits,2843,reference,True,passed,none,0,0.8979925829917192
sequential-digits,2843,qwen,True,passed,none,0,1.0354465839918703
sequential-digits,2843,gemma,True,passed,none,0,0.8270228749606758
check-if-one-string-swap-can-make-strings-equal,2846,buggy,False,failed,assertion_failure,1,0.7072771249804646
check-if-one-string-swap-can-make-strings-equal,2846,reference,True,passed,none,0,0.8175338751170784
check-if-one-string-swap-can-make-strings-equal,2846,qwen,True,passed,none,0,0.7699642500374466
check-if-one-string-swap-can-make-strings-equal,2846,gemma,True,passed,none,0,1.1726262918673456
number-complement,2850,buggy,False,failed,indentation_error,1,0.701027458999306
number-complement,2850,reference,True,passed,none,0,0.8940010839141905
number-complement,2850,qwen,False,failed,indentation_error,1,0.6744148340076208
number-complement,2850,gemma,True,passed,none,0,0.8747594158630818
alternating-digit-sum,2854,buggy,False,failed,indentation_error,1,0.6676008328795433
alternating-digit-sum,2854,reference,True,passed,none,0,0.9147873749025166
alternating-digit-sum,2854,qwen,False,failed,indentation_error,1,0.7675551250576973
alternating-digit-sum,2854,gemma,True,passed,none,0,0.8191529170144349
