metric,value,notes
reviewer_count,1,PoC simplification requested by project owner
manual_review_cases,29,Previously unresolved needs_manual_review records
qwen_manual_correct,4,of 11 manually reviewed
qwen_manual_incorrect,7,of 11 manually reviewed
qwen_final_correct,6,of 20 total baseline samples
qwen_final_accuracy,0.300,after automated + manual labels
gemma_manual_correct,5,of 18 manually reviewed
gemma_manual_incorrect,13,of 18 manually reviewed
gemma_final_correct,7,of 20 total baseline samples
gemma_final_accuracy,0.350,after automated + manual labels
