ID,Core Status,Theme,Paper Title,Authors,Year,Venue,Peer Reviewed,Verification URL,DOI / Stable URL,Problem,Dataset / Task Setting,Method,Metrics / Evaluation,Key Findings,Limitations / Conflicting Evidence,Relevance to TRACER,Gap Evidence / How We Use It,Paper Note
1,Core,Cost-aware routing,FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance,Lingjiao Chen; Matei Zaharia; James Zou,2024,TMLR,Yes,https://mlanthology.org/tmlr/2024/chen2024tmlr-frugalgpt/,https://openreview.net/forum?id=cSimKw5p6R,Reduce LLM inference cost without sacrificing task quality.,"Multiple LLM APIs; classification, QA, and reasoning tasks.","Learns LLM cascades, ordering models and stopping thresholds using quality/cost estimates.",Task accuracy/performance and inference cost.,Cascades can retain or improve quality while substantially reducing cost; final TMLR publication is 2024.,Primarily cost-quality optimisation; does not estimate separate residual failure risk for repair vs independent regeneration after observing an SLM answer.,Foundational cascade baseline; supports learned stopping/escalation decisions.,TRACER differs by post-response tri-action risk estimation rather than cascade order/cost optimisation.,Chen2024_FrugalGPT.md
2,Core,Pre-generation routing,Hybrid LLM: Cost-Efficient and Quality-Aware Query Routing,Ding et al.,2024,ICLR,Yes,https://proceedings.iclr.cc/paper_files/paper/2024/hash/b47d93c99fa22ac0b377578af0a1f63a-Abstract-Conference.html,https://arxiv.org/abs/2404.14618,Choose between cheaper and stronger LLMs while controlling quality/cost.,Query-level model routing before candidate generation.,Predicts query difficulty/quality to select a weak or strong model.,Task performance and cost trade-offs.,Learned query routing can reduce expensive-model usage while maintaining quality.,Decision is made before seeing the SLM response; cannot use response-specific failure evidence.,Strong pre-generation routing baseline.,TRACER conditions risk on the actual initial response and estimates three action outcomes.,Ding2024_HybridLLM.md
3,Core,Post-generation cascading,Large Language Model Cascades with Mixture of Thought Representations for Cost-Efficient Reasoning,Yue et al.,2024,ICLR,Yes,https://proceedings.iclr.cc/paper_files/paper/2024/hash/5de11e930c1bbfda5d4fc9d2b0924032-Abstract-Conference.html,https://arxiv.org/abs/2310.03094,Use consistency signals to decide whether reasoning should escalate to stronger models.,Reasoning tasks in cascaded LLM inference.,Mixture-of-thought representations and consistency signals for cascade decisions.,"Reasoning accuracy, model usage, inference cost.",Post-generation signals can improve cost-efficient cascade decisions.,Escalation is not decomposed into repair and independent regeneration with separate calibrated residual risks.,Evidence that output-derived signals are valuable after generation.,TRACER generalises post-generation escalation into distinct action-conditional risks.,Yue2024_LLMCascades.md
4,Critical,Output-aware routing,AutoMix: Automatically Mixing Language Models,Aggarwal et al.,2024,NeurIPS,Yes,https://proceedings.neurips.cc/paper_files/paper/2024/hash/ecda225cb187b40ea8edc1f46b03ffda-Abstract-Conference.html,https://arxiv.org/abs/2310.12963,Decide whether to accept a small-model answer or escalate to a larger model.,Small model answers first; router uses approximate correctness/self-verification.,Few-shot self-verification plus POMDP-based accept/escalate policy.,Task quality and computational cost.,Output-aware verification can support efficient accept-or-escalate decisions.,Binary action space and intrinsic/self-verification signal; no separate repair vs independent regeneration risks.,Closest conceptual predecessor to TRACER.,TRACER separates escalation into REPAIR and REGENERATE and calibrates residual failure per action.,Aggarwal2024_AutoMix.md
5,Critical,Learned routing,RouteLLM: Learning to Route LLMs with Preference Data,Ong et al.,2025,ICLR,Yes,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5503a7c69d48a2f86fc00b3dc09de686-Abstract-Conference.html,https://arxiv.org/abs/2406.18665,Learn model selection between weak and strong LLMs from preference data.,Pre-generation multi-model routing.,Preference-based routers predicting which model should handle a query.,Quality-cost trade-off and generalisation across datasets/model pairs.,Learned routers can transfer and significantly reduce strong-model calls.,Does not observe the initial SLM response before routing and does not model repair.,Modern learned-router baseline and evaluation reference.,TRACER is response-conditioned and action-conditioned rather than query-only model selection.,Ong2025_RouteLLM.md
6,Critical,Routing theory,A Unified Approach to Routing and Cascading for LLMs,Dekoninck; Baader; Vechev,2025,ICML,Yes,https://proceedings.mlr.press/v267/dekoninck25a.html,https://arxiv.org/abs/2410.10347,Unify routing and cascading under common performance/cost optimisation.,Multi-LLM selection and cascade policies.,Unified mathematical framework driven by model-quality estimates.,Performance-cost trade-offs.,Routing and cascading can be understood through common quality-estimation principles.,Optimisation target is not TRACER's three post-response residual failure probabilities.,Theoretical foundation for comparing router action spaces and quality estimators.,TRACER defines actions over outcomes of one initial response rather than only model-selection sequences.,Dekoninck2025_UnifiedRoutingCascading.md
7,Core,Confidence routing,Learning to Route LLMs with Confidence Tokens,Chuang et al.,2025,ICML,Yes,https://proceedings.mlr.press/v267/chuang25b.html,https://arxiv.org/abs/2410.13284,Improve LLM routing by learning specialised confidence representations.,Confidence-aware routing/rejection.,Trains confidence tokens to represent routing-relevant uncertainty.,"Routing quality, confidence discrimination, cost/quality.",Learned confidence representations can outperform simpler probability signals.,Confidence signal is not itself a calibrated action-conditional residual-failure model.,Supports learned uncertainty features for ACRE.,"TRACER calibrates probabilities for each downstream action, not a single confidence/routing score.",Chuang2025_ConfidenceTokens.md
8,Critical,Efficient cascading,SATER: A Self-Aware and Token-Efficient Approach to Routing and Cascading,Shen et al.,2025,EMNLP,Yes,https://aclanthology.org/2025.emnlp-main.531/,https://arxiv.org/abs/2510.05164,Reduce redundant generation and strong-model use in routing/cascading.,Pre-routing and cascading with self-aware/token-efficient outputs.,Combines self-awareness with token-efficient cascade decisions.,"Quality, cost, latency/token use.",Joint routing/cascading design can reduce unnecessary generation.,Primary aim is efficiency; does not estimate ACCEPT/REPAIR/REGENERATE residual failure separately.,Important efficiency comparison even though TRACER treats cost/latency as secondary.,TRACER's primary objective is residual failure risk rather than token/cost minimisation.,Shen2025_SATER.md
9,Core,Tool-based correction,CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing,Gou et al.,2024,ICLR,Yes,https://proceedings.iclr.cc/paper_files/paper/2024/hash/fef126561bbf9d4467dbb8d27334b8fe-Abstract-Conference.html,https://arxiv.org/abs/2305.11738,Improve generated outputs using external tools to critique and revise.,Iterative LLM self-correction with tool feedback.,Tool-interactive critique followed by revision.,Task-specific correctness/performance after correction.,External feedback can make correction more reliable than unaided self-reflection.,"Correction is applied as a procedure, not selected against accept and independent regeneration via calibrated risk.",Supports validator-assisted REPAIR design.,TRACER decides whether repair is preferable instead of assuming correction should run.,Gou2024_CRITIC.md
10,Core,Self-correction limits,Large Language Models Cannot Self-Correct Reasoning Yet,Huang et al.,2024,ICLR,Yes,https://openreview.net/forum?id=IkmD3fKBPQ,https://arxiv.org/abs/2310.01798,Test whether LLMs can reliably improve reasoning through intrinsic self-correction.,Reasoning tasks with self-correction prompts.,Controlled empirical evaluation of intrinsic correction.,Reasoning accuracy before/after correction.,Unaided self-correction can fail or degrade correct responses.,Focuses on self-correction rather than external stronger-model repair/routing.,Motivates explicit repair risk and repair-damage measurement.,TRACER allows ACCEPT when repair is predicted riskier and compares repair with independent regeneration.,Huang2024_CannotSelfCorrect.md
11,Critical,SLM verification,Small Language Models Need Strong Verifiers to Self-Correct Reasoning,Zhang et al.,2024,Findings of ACL,Yes,https://aclanthology.org/2024.findings-acl.924/,https://arxiv.org/abs/2404.17140,Understand SLM self-correction and the role of verifier strength.,Small language models with verifier feedback.,Compares correction behaviour under verifier strengths.,Reasoning/correction performance.,Stronger verification materially affects SLM correction success.,"Does not learn a tri-action policy over accept, repair and regenerate.",Direct evidence for SLM + stronger-model/validator collaboration.,TRACER models when strong-assisted repair is worth choosing versus independent regeneration.,Zhang2024_SLMsNeedStrongVerifiers.md
12,Core,Confidence estimation,Factual Confidence of LLMs: On Reliability and Robustness of Current Estimators,Mahaut et al.,2024,ACL,Yes,https://aclanthology.org/2024.acl-long.250/,https://arxiv.org/abs/2406.13415,Assess reliability and robustness of factual-confidence estimators for LLMs.,Factual QA/confidence estimation under perturbations.,Benchmarks probability- and representation-based confidence estimators.,Confidence discrimination/calibration and robustness.,Confidence estimators vary in reliability and can be unstable under meaning-preserving changes.,Confidence is not a direct downstream-action residual-risk estimate.,Supports combining multiple uncertainty signals and evaluating calibration carefully.,ACRE predicts action-specific failure rather than treating confidence as a generic correctness proxy.,Mahaut2024_FactualConfidence.md
13,Critical,Code benchmark,DebugBench: Evaluating Debugging Capability of Large Language Models,Tian et al.,2024,Findings of ACL,Yes,https://aclanthology.org/2024.findings-acl.247/,https://arxiv.org/abs/2401.04621,Benchmark LLM debugging capability across realistic bug types.,Code debugging benchmark across languages/bug categories.,Curated buggy programs paired with reference repairs and evaluation.,Debugging correctness and category-level performance.,Provides structured code-failure tasks suitable for testing repair/regeneration.,Cached data used in the current PoC did not provide executable tests for all samples; objective fixtures must be constructed/verified.,Primary code-domain dataset candidate.,TRACER uses benchmark outcomes as offline action labels rather than relying on textual similarity.,Tian2024_DebugBench.md
14,Critical,Numerical reasoning benchmark,FinQA: A Dataset of Numerical Reasoning over Financial Data,Chen et al.,2021,EMNLP,Yes,https://aclanthology.org/2021.emnlp-main.300/,https://arxiv.org/abs/2109.00122,Evaluate numerical reasoning over financial reports combining text and tables.,Financial QA with annotated reasoning programs.,"Dataset with questions, evidence, answers and executable reasoning programs.",Answer/program execution accuracy.,Enables objective numerical reasoning labels with traceable programs.,Domain-specific financial language and reasoning operations may limit generalisation.,Primary numerical-domain dataset candidate.,Provides objective action outcomes needed to train calibrated residual-risk heads.,Chen2021_FinQA.md
15,Secondary,Numerical reasoning benchmark,TAT-QA: A Question Answering Benchmark on a Hybrid of Tabular and Textual Content in Finance,Zhu et al.,2021,ACL-IJCNLP,Yes,https://aclanthology.org/2021.acl-long.254/,https://arxiv.org/abs/2105.07624,Evaluate QA requiring hybrid table-text reasoning in financial documents.,Financial QA with multiple arithmetic/reasoning operation types.,Hybrid table-text dataset with annotated derivations/answers.,Answer accuracy/F1 and reasoning performance.,Adds a different hybrid numerical reasoning distribution beyond FinQA.,Optional scope; increases validator/data engineering burden.,Potential external/generalisation dataset.,Useful for testing whether calibrated action risk transfers beyond one numerical benchmark.,Zhu2021_TATQA.md
16,Core,Probability calibration,On Calibration of Modern Neural Networks,Chuan Guo; Geoff Pleiss; Yu Sun; Kilian Q. Weinberger,2017,ICML,Yes,https://proceedings.mlr.press/v70/guo17a.html,https://arxiv.org/abs/1706.04599,Make predicted probabilities correspond to empirical correctness likelihood.,Modern neural networks on classification tasks.,Compares post-hoc calibration methods; introduces temperature scaling as an effective practical baseline.,Calibration error/reliability alongside predictive accuracy.,Modern neural networks can be poorly calibrated; temperature scaling is a strong simple post-hoc method.,"Classification setting, not autoregressive LLM action routing.",Direct methodological foundation for ACRE per-head temperature scaling.,TRACER applies calibration to action-conditional residual-failure probabilities.,Guo2017_Calibration.md
17,Core,Selective prediction,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Yonatan Geifman; Ran El-Yaniv,2019,ICML,Yes,https://proceedings.mlr.press/v97/geifman19a.html,https://arxiv.org/abs/1901.09192,Optimise predictions jointly with a reject/abstain option.,Deep classification/regression selective prediction.,Integrated reject option trained end-to-end under target coverage.,Risk-coverage trade-off.,Jointly learned selection can improve risk at a given coverage over confidence-threshold baselines.,Binary predict/reject framing; not generative action selection.,Foundational selective-risk/coverage concept for TRACER's epsilon policy.,TRACER has three actions and chooses between two remediation actions after ACCEPT is unsafe.,Geifman2019_SelectiveNet.md
18,Core,LM calibration,How Can We Know When Language Models Know? On the Calibration of Language Models for Question Answering,Zhengbao Jiang; Jun Araki; Haibo Ding; Graham Neubig,2021,TACL,Yes,https://aclanthology.org/2021.tacl-1.57/,https://doi.org/10.1162/tacl_a_00407,Determine whether generative LM confidence corresponds to answer correctness.,"T5, BART and GPT-2 on QA datasets.",Evaluates and improves LM calibration through fine-tuning and post-hoc modifications.,Calibration and QA correctness.,Raw LM probabilities are substantially miscalibrated; calibration methods improve confidence/correctness correspondence.,"Single-answer correctness confidence, not downstream action-conditional risk.",Direct language-model evidence that confidence requires calibration.,"TRACER calibrates failure probability conditioned on each action, not just the initial answer.",Jiang2021_LMCalibration.md
19,Core,Conformal risk control,Conformal Risk Control,Anastasios N. Angelopoulos; Stephen Bates; Adam Fisch; Lihua Lei; Tal Schuster,2024,ICLR,Yes,https://proceedings.iclr.cc/paper_files/paper/2024/hash/f3549ef9b5ff520a7e41ff3cc306ab2b-Abstract-Conference.html,https://openreview.net/forum?id=33XGfHLtZg,Control expected monotone losses with finite-sample guarantees.,General predictive systems; examples include NLP.,Extends conformal prediction to select a parameter controlling expected risk.,Expected risk relative to user-specified level; finite-sample guarantee.,Provides a general framework for controlling expected risk using calibration data.,Requires monotone risk-control structure; not a learned tri-action router by itself.,Theoretical reference for explicit risk thresholds and calibrated/selective policies.,TRACER learns three residual risks and uses an epsilon policy; formal conformal guarantees are not automatically implied.,Angelopoulos2024_ConformalRiskControl.md
20,Core,Selective generation,Selective Generation for Controllable Language Models,Minjae Lee; Kyungmin Kim; Taesoo Kim; Sangdon Park,2024,NeurIPS,Yes,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a6815122f533193a022cbc41786c1cc-Abstract-Conference.html,https://doi.org/10.52202/079017-1600,Apply certified selective prediction ideas to free-form language generation.,Open/closed-source generative language models with textual-entailment correctness.,Supervised and semi-supervised selective generation controlling false discovery rate under entailment.,FDR under entailment and selection efficiency.,Selective generation can meet desired risk levels with theoretical guarantees using an entailment-based correctness relation.,Controls selection of generated content rather than choosing repair vs independent regeneration.,Direct generative selective-risk precedent; important for avoiding overclaiming novelty.,"TRACER's novelty is action-conditional remediation risk, not selective generation itself.",Lee2024_SelectiveGeneration.md
21,Critical,Adaptive test-time routing,BEST-Route: Adaptive LLM Routing with Test-Time Optimal Compute,Dujian Ding; Ankur Mallick; Shaokun Zhang; Chi Wang; Daniel Madrigal; Mirian Del Carmen Hipolito Garcia; Menglin Xia; Laks V. S. Lakshmanan; Qingyun Wu; Victor Rühle,2025,ICML,Yes,https://proceedings.mlr.press/v267/ding25d.html,https://arxiv.org/abs/2506.22716,Choose not only a model but also how many samples to draw under quality/cost requirements.,Multi-LLM routing with test-time best-of-n sampling.,Routes by query difficulty and quality thresholds to a model plus response count.,Quality and inference cost.,Reports up to 60% cost reduction with less than 1% performance drop.,Action space is model/sample-count allocation before outcome-specific repair; not calibrated residual failure for ACCEPT/REPAIR/REGENERATE.,Important updated closest work showing modern routers are not merely binary.,Forces TRACER to state a narrower post-response action-risk contribution.,Ding2025_BESTRoute.md
22,Core,Tail-risk calibration,Conformal Tail Risk Control for Large Language Model Alignment,Catherine Chen; Jingyan Shen; Zhun Deng; Lihua Lei,2025,ICML,Yes,https://proceedings.mlr.press/v267/chen25bd.html,https://arxiv.org/abs/2502.20285,Control severe/tail LLM failures under imperfect automated scoring.,Black-box LLM outputs and human-machine scoring misalignment.,Conformal calibration for distortion/tail risk measures using L-statistics.,Tail/distortion risk and high-confidence guarantees.,Provides calibrated guarantees for tail-risk measures despite scorer mismatch.,"Alignment/tail-risk calibration, not tri-action routing or response repair.",Strengthens TRACER's risk-calibration theoretical context.,TRACER predicts per-action ordinary residual failure; it should not imply conformal tail guarantees unless added explicitly.,Chen2025_ConformalTailRisk.md
23,Core,Adaptive abstention,CAP: Conformalized Abstention Policies for Context-Adaptive Risk Management for LLMs and VLMs,Sina Tayebati; Divake Kumar; Nastaran Darabi; Dinithi Jayasuriya; Theja Tulabandhula; Ranganath Krishnan; Amit Ranjan Trivedi,2025,ACML,Yes,https://proceedings.mlr.press/v304/tayebati26a.html,https://proceedings.mlr.press/v304/tayebati26a.html,Adapt abstention/risk levels per instance rather than applying one global conformal level.,"LLMs/VLMs, hallucination detection and selective generation.","Reinforcement-learning policy selects per-instance conformal risk level; includes point prediction, set prediction and abstention.","Coverage, hallucination AUROC, AUARC, calibration error.",Maintains target coverage while improving selective-generation/risk-management metrics over static conformal baselines.,"Focuses on abstention/risk-level choice, not choosing among repair and independent regeneration outcomes.","Updated evidence that adaptive risk management can be multi-action, so TRACER gap must be precise.",TRACER's specific contribution is calibrated residual failure for three response-handling actions.,Tayebati2025_CAP.md
24,Core,Routing under noisy feedback,LENS: Latent Precision Inference in Multi-LLM Routing,Juntao Liu; Lixing Yu; Kun Yue; Zhiwen Tang,2026,UAI,Yes,https://proceedings.mlr.press/v337/liu26b.html,https://proceedings.mlr.press/v337/liu26b.html,Make routing robust when interaction-derived feedback has unknown/variable precision under logging noise and drift.,Multi-LLM routing under task/model distribution shifts.,Probabilistic latent-precision model with posterior utility maximisation and variational inference.,Performance-cost trade-offs under distribution shift.,"Explicitly modeling feedback precision improves routing, especially under task/model shifts.",Routes among models using feedback signatures; no explicit post-response repair action.,Very recent evidence on uncertainty in supervision and routing calibration under shift.,TRACER should separate label/validator reliability concerns from its action-conditional risk model.,Liu2026_LENS.md
25,Emerging,Resample vs reroute,Resample or Reroute? Budget-Aware Test-Time Model Selection for Large Language Models,Teng-Ruei Chen,2026,arXiv preprint,No — preprint,https://arxiv.org/abs/2607.08665,https://arxiv.org/abs/2607.08665,Allocate a per-query budget between resampling the committed model and rerouting to another model under an imperfect verifier.,Multi-model test-time selection with multiple samples and noisy verification.,Online marginal-correctness-per-cost allocation between resampling and rerouting.,Expected correctness and cost-quality Pareto frontier.,Reported gains depend on verifier quality and benchmark heterogeneity.,Not peer-reviewed as of 2026-08-23; resampling/rerouting is not the same as editing an existing SLM response.,Extremely close emerging work; must be discussed in novelty analysis.,"TRACER's REPAIR explicitly conditions on and edits the existing SLM answer, while REGENERATE independently solves; ACRE estimates each action's residual failure rather than marginal correctness per cost.",Chen2026_ResampleOrReroute.md
